Адрес,Район,Количество комнат,Площадь м2,Этаж,Балкон,Высота потолков м,Санузел,Окна,Ремонт,Вид сделки,Тип дома,Количество этажей,Лифт,Год постройки,Дата публикации,Стоимость
"Республика Бурятия, Улан-Удэ, 47-й квартал, Конечная ул., 10к2",Октябрьский район,студия,29.4,1,балкон,NaN,совмещенный,во двор,требует ремонта,возможна ипотека,монолитно-кирпичный,12,1,2023,13 марта в 19:16,3950000
"Республика Бурятия, Улан-Удэ, мкр-н Шишковка, ул. 3-го Интернационала, 18А",Железнодорожный район,2,46,1,NaN,NaN,раздельный,"на улицу, на солнечную сторону",косметический,NaN,деревянный,2,NaN,NaN,23 марта в 21:28,3800000
"Республика Бурятия, Улан-Удэ, 102-й мкр-н, ул. Ринчино, 35",Октябрьский район,студия,27.5,8,балкон,NaN,совмещенный,во двор,NaN,возможна ипотека,монолитно-кирпичный,9,1,NaN,21 марта в 22:41,3450000
"кв-л 115, стр. 17",Октябрьский район,1,27.9,2,балкон,2.7,совмещенный,на солнечную сторону,NaN,возможна ипотека,кирпичный,5,0,NaN,17 марта в 16:28,3350000
"Республика Бурятия, Улан-Удэ, ул. Мокрова, 42",Октябрьский район,4,80,3,лоджия,2.5,раздельный,"во двор, на улицу, на солнечную сторону",косметический,NaN,панельный,5,NaN,1996,12 марта в 15:36,10500000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 66",Октябрьский район,3,61.8,5,балкон,2.6,раздельный,"во двор, на улицу",косметический,возможна ипотека,панельный,5,0,1980,18 марта в 15:42,7000000
"Республика Бурятия, Улан-Удэ, 110-й мкр-н, 12",Октябрьский район,1,39.4,5,лоджия,NaN,совмещенный,NaN,евро,возможна ипотека,блочный,12,1,NaN,20 марта в 21:19,6200000
"мкр. 102, стр. 2",Октябрьский район,2,63.7,3,балкон,2.7,раздельный,"во двор, на улицу",NaN,NaN,монолитно-кирпичный,9,1,NaN,19 марта в 20:17,5926890
"Республика Бурятия, Улан-Удэ, мкр-н Аэропорт, 26",Советский район,1,37.7,1,NaN,NaN,совмещенный,во двор,требует ремонта,возможна ипотека,кирпичный,6,NaN,1982,10 марта в 18:02,2980000
"ул. Москалёва, д. 5",Октябрьский район,1,34.4,1,балкон,NaN,совмещенный,NaN,NaN,возможна ипотека,кирпичный,5,0,NaN,20 марта в 19:43,4050000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 6Д",Октябрьский район,1,37.3,12,лоджия,NaN,совмещенный,во двор,требует ремонта,возможна ипотека,монолитно-кирпичный,16,2,NaN,20 марта в 01:25,6000000
"Республика Бурятия, Улан-Удэ, Зеркальная ул., 41",Октябрьский район,студия,38,1,балкон,2.7,совмещенный,во двор,косметический,NaN,блочный,3,NaN,2011,21 марта в 21:05,3450000
"Республика Бурятия, Улан-Удэ, Ермаковская ул., 39",Советский район,3,57.4,1,балкон,2.6,совмещенный,на улицу,косметический,возможна ипотека,кирпичный,5,0,1972,10 марта в 17:55,7000000
"Республика Бурятия, Улан-Удэ, Профсоюзная ул., 42",Советский район,3,55.7,4,балкон,NaN,раздельный,NaN,евро,возможна ипотека,панельный,5,0,NaN,19 марта в 13:20,8400000
"Республика Бурятия, Улан-Удэ, Тагильская ул., 4",Железнодорожный район,3,64,2,NaN,3 м,"совмещенный, раздельный","во двор, на улицу, на солнечную сторону",требует ремонта,NaN,деревянный,2,NaN,64,18 марта в 00:12,1500000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 82",Октябрьский район,3,63.6,4,балкон,2.5,совмещенный,"во двор, на улицу",евро,возможна ипотека,панельный,5,0,1972,20 марта в 11:23,9800000
"ул. Дашиева, д. 7",Октябрьский район,2,63.4,11,балкон,NaN,раздельный,NaN,NaN,возможна ипотека,монолитно-кирпичный,13,1,NaN,15 марта в 21:41,6300000
"Республика Бурятия, Улан-Удэ, мкр-н Восточный, ул. Чкалова, 6",Железнодорожный район,4,63.8,3,балкон,2.5,раздельный,NaN,косметический,возможна ипотека,кирпичный,5,0,1974,16 марта в 19:26,7800000
"Республика Бурятия, Улан-Удэ, ул. Клыпина, 24",Железнодорожный район,2,43,2,NaN,NaN,совмещенный,во двор,косметический,NaN,блочный,3,0,NaN,5 апреля в 01:21,5400000
"Республика Бурятия, Улан-Удэ, 111-й мкр-н, 34",Октябрьский район,студия,25.5,3,балкон,NaN,совмещенный,NaN,косметический,возможна ипотека,монолитно-кирпичный,5,0,NaN,13 марта в 21:44,3100000
"Республика Бурятия, Улан-Удэ, мкр-н Энергетик, 34",Октябрьский район,3,64.5,5,балкон,NaN,раздельный,"во двор, на улицу",евро,возможна ипотека,монолитный,6,0,2010,18 марта в 17:01,10000000
"Республика Бурятия, Улан-Удэ, 112-й мкр-н, 27",Октябрьский район,1,27.3,3,балкон,250 м,совмещенный,"во двор, на солнечную сторону",косметический,NaN,кирпичный,5,NaN,2013,16 марта в 12:35,4400000
"Республика Бурятия, Улан-Удэ, мкр-н 140А, 14",Октябрьский район,4,92,1,балкон,NaN,раздельный,NaN,евро,возможна ипотека,кирпичный,3,NaN,2014,4 апреля в 08:17,12160000
"Республика Бурятия, Улан-Удэ, 113-й мкр-н, 4А",Октябрьский район,1,33.7,5,лоджия,2.7,раздельный,на улицу,косметический,возможна ипотека,кирпичный,5,NaN,2012,16 марта в 20:15,4550000
"Республика Бурятия, Улан-Удэ, ул. Бабушкина, 23",Октябрьский район,2,47,4,балкон,NaN,раздельный,на солнечную сторону,косметический,возможна ипотека,кирпичный,5,NaN,1969,5 апреля в 15:08,5700000
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 44",Октябрьский район,3,66.4,1,балкон,NaN,раздельный,NaN,евро,NaN,панельный,5,0,NaN,11 марта в 13:30,7500000
